Combined E. coli AMR data — Index

Sheet name,Source file,Original sheet / page,Description
PD20 p39,Annex_D_ESBL_EUSR_AMR_2020-2021.pdf,p39,EUSR 2020-2021 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD20 p40,Annex_D_ESBL_EUSR_AMR_2020-2021.pdf,p40,EUSR 2020-2021 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD20 p41,Annex_D_ESBL_EUSR_AMR_2020-2021.pdf,p41,EUSR 2020-2021 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD20 p42,Annex_D_ESBL_EUSR_AMR_2020-2021.pdf,p42,EUSR 2020-2021 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD20 p43,Annex_D_ESBL_EUSR_AMR_2020-2021.pdf,p43,EUSR 2020-2021 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD20 p44,Annex_D_ESBL_EUSR_AMR_2020-2021.pdf,p44,EUSR 2020-2021 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD20 p45,Annex_D_ESBL_EUSR_AMR_2020-2021.pdf,p45,EUSR 2020-2021 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD21 p01,Annex D_ESBL_EUSR_AMR_2021-2022.pdf,p01,EUSR 2021-2022 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD21 p02,Annex D_ESBL_EUSR_AMR_2021-2022.pdf,p02,EUSR 2021-2022 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD21 p03,Annex D_ESBL_EUSR_AMR_2021-2022.pdf,p03,EUSR 2021-2022 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD21 p04,Annex D_ESBL_EUSR_AMR_2021-2022.pdf,p04,EUSR 2021-2022 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD21 p05,Annex D_ESBL_EUSR_AMR_2021-2022.pdf,p05,EUSR 2021-2022 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD21 p06,Annex D_ESBL_EUSR_AMR_2021-2022.pdf,p06,EUSR 2021-2022 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD21 p07,Annex D_ESBL_EUSR_AMR_2021-2022.pdf,p07,EUSR 2021-2022 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD21 p08,Annex D_ESBL_EUSR_AMR_2021-2022.pdf,p08,EUSR 2021-2022 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD21 p09,Annex D_ESBL_EUSR_AMR_2021-2022.pdf,p09,EUSR 2021-2022 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD21 p10,Annex D_ESBL_EUSR_AMR_2021-2022.pdf,p10,EUSR 2021-2022 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD21 p11,Annex D_ESBL_EUSR_AMR_2021-2022.pdf,p11,EUSR 2021-2022 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD21 p12,Annex D_ESBL_EUSR_AMR_2021-2022.pdf,p12,EUSR 2021-2022 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD21 p13,Annex D_ESBL_EUSR_AMR_2021-2022.pdf,p13,EUSR 2021-2022 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD21 p14,Annex D_ESBL_EUSR_AMR_2021-2022.pdf,p14,EUSR 2021-2022 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD21 p15,Annex D_ESBL_EUSR_AMR_2021-2022.pdf,p15,EUSR 2021-2022 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD21 p16,Annex D_ESBL_EUSR_AMR_2021-2022.pdf,p16,EUSR 2021-2022 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD21 p17,Annex D_ESBL_EUSR_AMR_2021-2022.pdf,p17,EUSR 2021-2022 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD21 p18,Annex D_ESBL_EUSR_AMR_2021-2022.pdf,p18,EUSR 2021-2022 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD21 p19,Annex D_ESBL_EUSR_AMR_2021-2022.pdf,p19,EUSR 2021-2022 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD21 p20,Annex D_ESBL_EUSR_AMR_2021-2022.pdf,p20,EUSR 2021-2022 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD21 p21,Annex D_ESBL_EUSR_AMR_2021-2022.pdf,p21,EUSR 2021-2022 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD21 p22,Annex D_ESBL_EUSR_AMR_2021-2022.pdf,p22,EUSR 2021-2022 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD21 p23,Annex D_ESBL_EUSR_AMR_2021-2022.pdf,p23,EUSR 2021-2022 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD21 p24,Annex D_ESBL_EUSR_AMR_2021-2022.pdf,p24,EUSR 2021-2022 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD21 p25,Annex D_ESBL_EUSR_AMR_2021-2022.pdf,p25,EUSR 2021-2022 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD21 p26,Annex D_ESBL_EUSR_AMR_2021-2022.pdf,p26,EUSR 2021-2022 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD21 p27,Annex D_ESBL_EUSR_AMR_2021-2022.pdf,p27,EUSR 2021-2022 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD21 p28,Annex D_ESBL_EUSR_AMR_2021-2022.pdf,p28,EUSR 2021-2022 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD21 p29,Annex D_ESBL_EUSR_AMR_2021-2022.pdf,p29,EUSR 2021-2022 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD21 p30,Annex D_ESBL_EUSR_AMR_2021-2022.pdf,p30,EUSR 2021-2022 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD21 p31,Annex D_ESBL_EUSR_AMR_2021-2022.pdf,p31,EUSR 2021-2022 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD21 p32,Annex D_ESBL_EUSR_AMR_2021-2022.pdf,p32,EUSR 2021-2022 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD21 p33,Annex D_ESBL_EUSR_AMR_2021-2022.pdf,p33,EUSR 2021-2022 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD21 p34,Annex D_ESBL_EUSR_AMR_2021-2022.pdf,p34,EUSR 2021-2022 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD21 p35,Annex D_ESBL_EUSR_AMR_2021-2022.pdf,p35,EUSR 2021-2022 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD21 p36,Annex D_ESBL_EUSR_AMR_2021-2022.pdf,p36,EUSR 2021-2022 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD21 p37,Annex D_ESBL_EUSR_AMR_2021-2022.pdf,p37,EUSR 2021-2022 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD21 p38,Annex D_ESBL_EUSR_AMR_2021-2022.pdf,p38,EUSR 2021-2022 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD21 p39,Annex D_ESBL_EUSR_AMR_2021-2022.pdf,p39,EUSR 2021-2022 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD21 p40,Annex D_ESBL_EUSR_AMR_2021-2022.pdf,p40,EUSR 2021-2022 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD21 p41,Annex D_ESBL_EUSR_AMR_2021-2022.pdf,p41,EUSR 2021-2022 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD21 p42,Annex D_ESBL_EUSR_AMR_2021-2022.pdf,p42,EUSR 2021-2022 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD21 p43,Annex D_ESBL_EUSR_AMR_2021-2022.pdf,p43,EUSR 2021-2022 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD21 p44,Annex D_ESBL_EUSR_AMR_2021-2022.pdf,p44,EUSR 2021-2022 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD21 p45,Annex D_ESBL_EUSR_AMR_2021-2022.pdf,p45,EUSR 2021-2022 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD21 p46,Annex D_ESBL_EUSR_AMR_2021-2022.pdf,p46,EUSR 2021-2022 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD21 p47,Annex D_ESBL_EUSR_AMR_2021-2022.pdf,p47,EUSR 2021-2022 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD21 p48,Annex D_ESBL_EUSR_AMR_2021-2022.pdf,p48,EUSR 2021-2022 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD21 p49,Annex D_ESBL_EUSR_AMR_2021-2022.pdf,p49,EUSR 2021-2022 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD21 p50,Annex D_ESBL_EUSR_AMR_2021-2022.pdf,p50,EUSR 2021-2022 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD21 p51,Annex D_ESBL_EUSR_AMR_2021-2022.pdf,p51,EUSR 2021-2022 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD21 p52,Annex D_ESBL_EUSR_AMR_2021-2022.pdf,p52,EUSR 2021-2022 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PE18 p01,"Annex E - ESBL-, AmpC- and or CP-producers.pdf",p01,EUSR 2018-2019 Annex E: ESBL/AmpC/CP-producing E. coli  (extracted from PDF; Salmonella-only tables skipped)
PE18 p02,"Annex E - ESBL-, AmpC- and or CP-producers.pdf",p02,EUSR 2018-2019 Annex E: ESBL/AmpC/CP-producing E. coli  (extracted from PDF; Salmonella-only tables skipped)
PE18 p03,"Annex E - ESBL-, AmpC- and or CP-producers.pdf",p03,EUSR 2018-2019 Annex E: ESBL/AmpC/CP-producing E. coli  (extracted from PDF; Salmonella-only tables skipped)
PE18 p04,"Annex E - ESBL-, AmpC- and or CP-producers.pdf",p04,EUSR 2018-2019 Annex E: ESBL/AmpC/CP-producing E. coli  (extracted from PDF; Salmonella-only tables skipped)
PE18 p05,"Annex E - ESBL-, AmpC- and or CP-producers.pdf",p05,EUSR 2018-2019 Annex E: ESBL/AmpC/CP-producing E. coli  (extracted from PDF; Salmonella-only tables skipped)
PE18 p06,"Annex E - ESBL-, AmpC- and or CP-producers.pdf",p06,EUSR 2018-2019 Annex E: ESBL/AmpC/CP-producing E. coli  (extracted from PDF; Salmonella-only tables skipped)
PE18 p07,"Annex E - ESBL-, AmpC- and or CP-producers.pdf",p07,EUSR 2018-2019 Annex E: ESBL/AmpC/CP-producing E. coli  (extracted from PDF; Salmonella-only tables skipped)
PE18 p08,"Annex E - ESBL-, AmpC- and or CP-producers.pdf",p08,EUSR 2018-2019 Annex E: ESBL/AmpC/CP-producing E. coli  (extracted from PDF; Salmonella-only tables skipped)
PE18 p09,"Annex E - ESBL-, AmpC- and or CP-producers.pdf",p09,EUSR 2018-2019 Annex E: ESBL/AmpC/CP-producing E. coli  (extracted from PDF; Salmonella-only tables skipped)
PE18 p10,"Annex E - ESBL-, AmpC- and or CP-producers.pdf",p10,EUSR 2018-2019 Annex E: ESBL/AmpC/CP-producing E. coli  (extracted from PDF; Salmonella-only tables skipped)
PE18 p12,"Annex E - ESBL-, AmpC- and or CP-producers.pdf",p12,EUSR 2018-2019 Annex E: ESBL/AmpC/CP-producing E. coli  (extracted from PDF; Salmonella-only tables skipped)
PE18 p13,"Annex E - ESBL-, AmpC- and or CP-producers.pdf",p13,EUSR 2018-2019 Annex E: ESBL/AmpC/CP-producing E. coli  (extracted from PDF; Salmonella-only tables skipped)
PE18 p14,"Annex E - ESBL-, AmpC- and or CP-producers.pdf",p14,EUSR 2018-2019 Annex E: ESBL/AmpC/CP-producing E. coli  (extracted from PDF; Salmonella-only tables skipped)
PE18 p15,"Annex E - ESBL-, AmpC- and or CP-producers.pdf",p15,EUSR 2018-2019 Annex E: ESBL/AmpC/CP-producing E. coli  (extracted from PDF; Salmonella-only tables skipped)
PE18 p16,"Annex E - ESBL-, AmpC- and or CP-producers.pdf",p16,EUSR 2018-2019 Annex E: ESBL/AmpC/CP-producing E. coli  (extracted from PDF; Salmonella-only tables skipped)
PE18 p17,"Annex E - ESBL-, AmpC- and or CP-producers.pdf",p17,EUSR 2018-2019 Annex E: ESBL/AmpC/CP-producing E. coli  (extracted from PDF; Salmonella-only tables skipped)
PE18 p18,"Annex E - ESBL-, AmpC- and or CP-producers.pdf",p18,EUSR 2018-2019 Annex E: ESBL/AmpC/CP-producing E. coli  (extracted from PDF; Salmonella-only tables skipped)
PE18 p19,"Annex E - ESBL-, AmpC- and or CP-producers.pdf",p19,EUSR 2018-2019 Annex E: ESBL/AmpC/CP-producing E. coli  (extracted from PDF; Salmonella-only tables skipped)
PE18 p20,"Annex E - ESBL-, AmpC- and or CP-producers.pdf",p20,EUSR 2018-2019 Annex E: ESBL/AmpC/CP-producing E. coli  (extracted from PDF; Salmonella-only tables skipped)
PE18 p21,"Annex E - ESBL-, AmpC- and or CP-producers.pdf",p21,EUSR 2018-2019 Annex E: ESBL/AmpC/CP-producing E. coli  (extracted from PDF; Salmonella-only tables skipped)
PE18 p22,"Annex E - ESBL-, AmpC- and or CP-producers.pdf",p22,EUSR 2018-2019 Annex E: ESBL/AmpC/CP-producing E. coli  (extracted from PDF; Salmonella-only tables skipped)
PE18 p23,"Annex E - ESBL-, AmpC- and or CP-producers.pdf",p23,EUSR 2018-2019 Annex E: ESBL/AmpC/CP-producing E. coli  (extracted from PDF; Salmonella-only tables skipped)
PE18 p24,"Annex E - ESBL-, AmpC- and or CP-producers.pdf",p24,EUSR 2018-2019 Annex E: ESBL/AmpC/CP-producing E. coli  (extracted from PDF; Salmonella-only tables skipped)
PE18 p25,"Annex E - ESBL-, AmpC- and or CP-producers.pdf",p25,EUSR 2018-2019 Annex E: ESBL/AmpC/CP-producing E. coli  (extracted from PDF; Salmonella-only tables skipped)
PE18 p27,"Annex E - ESBL-, AmpC- and or CP-producers.pdf",p27,EUSR 2018-2019 Annex E: ESBL/AmpC/CP-producing E. coli  (extracted from PDF; Salmonella-only tables skipped)
PE18 p28,"Annex E - ESBL-, AmpC- and or CP-producers.pdf",p28,EUSR 2018-2019 Annex E: ESBL/AmpC/CP-producing E. coli  (extracted from PDF; Salmonella-only tables skipped)
PE18 p29,"Annex E - ESBL-, AmpC- and or CP-producers.pdf",p29,EUSR 2018-2019 Annex E: ESBL/AmpC/CP-producing E. coli  (extracted from PDF; Salmonella-only tables skipped)
PE18 p30,"Annex E - ESBL-, AmpC- and or CP-producers.pdf",p30,EUSR 2018-2019 Annex E: ESBL/AmpC/CP-producing E. coli  (extracted from PDF; Salmonella-only tables skipped)
PE18 p31,"Annex E - ESBL-, AmpC- and or CP-producers.pdf",p31,EUSR 2018-2019 Annex E: ESBL/AmpC/CP-producing E. coli  (extracted from PDF; Salmonella-only tables skipped)
PE18 p32,"Annex E - ESBL-, AmpC- and or CP-producers.pdf",p32,EUSR 2018-2019 Annex E: ESBL/AmpC/CP-producing E. coli  (extracted from PDF; Salmonella-only tables skipped)
PE18 p33,"Annex E - ESBL-, AmpC- and or CP-producers.pdf",p33,EUSR 2018-2019 Annex E: ESBL/AmpC/CP-producing E. coli  (extracted from PDF; Salmonella-only tables skipped)
PE18 p34,"Annex E - ESBL-, AmpC- and or CP-producers.pdf",p34,EUSR 2018-2019 Annex E: ESBL/AmpC/CP-producing E. coli  (extracted from PDF; Salmonella-only tables skipped)
PE18 p35,"Annex E - ESBL-, AmpC- and or CP-producers.pdf",p35,EUSR 2018-2019 Annex E: ESBL/AmpC/CP-producing E. coli  (extracted from PDF; Salmonella-only tables skipped)
PE18 p36,"Annex E - ESBL-, AmpC- and or CP-producers.pdf",p36,EUSR 2018-2019 Annex E: ESBL/AmpC/CP-producing E. coli  (extracted from PDF; Salmonella-only tables skipped)
PE18 p37,"Annex E - ESBL-, AmpC- and or CP-producers.pdf",p37,EUSR 2018-2019 Annex E: ESBL/AmpC/CP-producing E. coli  (extracted from PDF; Salmonella-only tables skipped)
PE18 p38,"Annex E - ESBL-, AmpC- and or CP-producers.pdf",p38,EUSR 2018-2019 Annex E: ESBL/AmpC/CP-producing E. coli  (extracted from PDF; Salmonella-only tables skipped)
PE18 p39,"Annex E - ESBL-, AmpC- and or CP-producers.pdf",p39,EUSR 2018-2019 Annex E: ESBL/AmpC/CP-producing E. coli  (extracted from PDF; Salmonella-only tables skipped)
PE18 p40,"Annex E - ESBL-, AmpC- and or CP-producers.pdf",p40,EUSR 2018-2019 Annex E: ESBL/AmpC/CP-producing E. coli  (extracted from PDF; Salmonella-only tables skipped)
PE18 p41,"Annex E - ESBL-, AmpC- and or CP-producers.pdf",p41,EUSR 2018-2019 Annex E: ESBL/AmpC/CP-producing E. coli  (extracted from PDF; Salmonella-only tables skipped)
PE18 p42,"Annex E - ESBL-, AmpC- and or CP-producers.pdf",p42,EUSR 2018-2019 Annex E: ESBL/AmpC/CP-producing E. coli  (extracted from PDF; Salmonella-only tables skipped)
PE18 p43,"Annex E - ESBL-, AmpC- and or CP-producers.pdf",p43,EUSR 2018-2019 Annex E: ESBL/AmpC/CP-producing E. coli  (extracted from PDF; Salmonella-only tables skipped)
PE18 p44,"Annex E - ESBL-, AmpC- and or CP-producers.pdf",p44,EUSR 2018-2019 Annex E: ESBL/AmpC/CP-producing E. coli  (extracted from PDF; Salmonella-only tables skipped)
PE18 p45,"Annex E - ESBL-, AmpC- and or CP-producers.pdf",p45,EUSR 2018-2019 Annex E: ESBL/AmpC/CP-producing E. coli  (extracted from PDF; Salmonella-only tables skipped)
PE18 p46,"Annex E - ESBL-, AmpC- and or CP-producers.pdf",p46,EUSR 2018-2019 Annex E: ESBL/AmpC/CP-producing E. coli  (extracted from PDF; Salmonella-only tables skipped)


Legend / Notes
Prefix legend (xlsx/xlsm sources): C23 = Annex C Indicator E. coli 2023-24; C22 = Annex C 2022-23; D23 = Annex D.1 ESBL/AmpC/CP-producing E. coli 2023-24; D22 = Annex D.1 2022-23 (Salmonella sheets dropped); Y19 = 2019 EFSA dashboard export; EX = E.coli.xlsx dashboard export.
"Prefix legend (PDF sources): PC21/PC20 = Annex C Indicator E. coli PDFs (2021-22, 2020-21); PD18 = 2018-19 Annex D Indicator E. coli PDF; PD21/PD20 = Annex D ESBL/AmpC/CP-producing E. coli PDFs; PE18 = 2018-19 Annex E ESBL/AmpC/CP-producing E. coli PDF (Salmonella-only tables filtered out)."
"PDF sheets are named '{prefix} p{NN}' for the original PDF page. Each sheet contains the section title, auto-detected tables, and (where extraction failed) the raw page text in column A."
"PDF table extraction uses pdfplumber's default detector. Where it failed, the page's raw text is dumped to column A so no content is lost. Some column alignment may be approximate — the xlsx-derived sheets (C22-D23, Y19, EX) are the authoritative numerical source where they overlap with PDFs."
Salmonella sheets that were in the 2022-23 Annex D.1 workbook have been dropped per request.
"MRSA, Salmonella, and Campylobacter data in the Data folder were not included (this workbook is E. coli only)."
